"nummer" "block" "Drahtsorte" "Richtung" "Haendigkeit"
"1" 101 "1" "1" "3" "1"
"2" 102 "1" "2" "1" "1"
"3" 103 "1" "2" "2" "2"
"4" 104 "1" "2" "3" "2"
"5" 105 "1" "1" "3" "2"
"6" 106 "1" "2" "1" "2"
"7" 107 "1" "1" "1" "2"
"8" 108 "1" "1" "1" "1"
"9" 109 "1" "2" "2" "1"
"10" 110 "1" "1" "2" "2"
"11" 111 "1" "2" "3" "1"
"12" 112 "1" "1" "2" "1"
"13" 113 "2" "2" "3" "2"
"14" 114 "2" "1" "2" "2"
"15" 115 "2" "1" "2" "1"
"16" 116 "2" "1" "3" "1"
"17" 117 "2" "1" "1" "2"
"18" 118 "2" "2" "2" "2"
"19" 119 "2" "2" "2" "1"
"20" 120 "2" "2" "3" "1"
"21" 121 "2" "2" "1" "2"
"22" 122 "2" "2" "1" "1"
"23" 123 "2" "1" "1" "1"
"24" 124 "2" "1" "3" "2"
"25" 125 "3" "2" "3" "1"
"26" 126 "3" "1" "2" "2"
"27" 127 "3" "2" "1" "1"
"28" 128 "3" "1" "2" "1"
"29" 129 "3" "1" "1" "2"
"30" 130 "3" "2" "1" "2"
"31" 131 "3" "2" "3" "2"
"32" 132 "3" "2" "2" "2"
"33" 133 "3" "1" "1" "1"
"34" 134 "3" "1" "3" "2"
"35" 135 "3" "2" "2" "1"
"36" 136 "3" "1" "3" "1"
"37" 137 "4" "1" "1" "2"
"38" 138 "4" "1" "3" "2"
"39" 139 "4" "2" "2" "2"
"40" 140 "4" "1" "2" "1"
"41" 141 "4" "2" "1" "2"
"42" 142 "4" "2" "2" "1"
"43" 143 "4" "1" "2" "2"
"44" 144 "4" "1" "3" "1"
"45" 145 "4" "2" "1" "1"
"46" 146 "4" "2" "3" "2"
"47" 147 "4" "2" "3" "1"
"48" 148 "4" "1" "1" "1"
